epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1734,1.0579,2.61763,1.38277,0.00342,0.95069,0.07913,0.04746,1.7538,3.918,1.72817,0.000532514,0.000532514,0.000532514
2,45.6222,0.97456,1.69994,1.27822,0.6546,0.18563,0.27893,0.1848,1.35121,3.47866,1.36219,0.00107741,0.00107741,0.00107741
3,66.0764,1.02272,1.6095,1.31683,0.32109,0.07539,0.11144,0.05139,1.79168,3.77059,1.85644,0.0016113,0.0016113,0.0016113
4,86.9262,1.04283,1.51223,1.30469,0.08034,0.06745,0.03319,0.0128,1.76599,4.15498,1.74166,0.00161749,0.00161749,0.00161749
5,106.608,1.02948,1.33599,1.29542,0.06288,0.05844,0.03143,0.01405,1.78011,4.63056,1.6903,0.00160099,0.00160099,0.00160099
6,126.384,0.97149,1.21298,1.25661,0.20178,0.33239,0.1749,0.09275,1.48358,3.15557,1.47219,0.00158448,0.00158448,0.00158448
7,146.106,1.01209,1.13968,1.25158,0.2795,0.20259,0.15567,0.08789,1.61183,2.82121,1.45453,0.00156798,0.00156798,0.00156798
8,165.86,0.97269,1.1234,1.24973,0.29831,0.18438,0.14836,0.06686,1.78188,3.54608,1.69842,0.00155148,0.00155148,0.00155148
9,185.739,0.96032,1.03579,1.21261,0.1338,0.31366,0.10347,0.04222,2.06081,3.59006,2.00125,0.00153497,0.00153497,0.00153497
10,205.273,0.95159,0.99397,1.2083,0.42677,0.13893,0.06029,0.01631,2.57055,4.24094,2.30186,0.00151847,0.00151847,0.00151847
11,223.976,0.96503,0.99677,1.24498,0.67912,0.26126,0.25245,0.12172,1.5935,2.85064,1.43166,0.00150197,0.00150197,0.00150197
12,243.811,0.89157,0.86239,1.18447,0.52598,0.38656,0.42109,0.2267,1.44698,2.0409,1.34896,0.00148546,0.00148546,0.00148546
13,263.405,0.8849,0.89003,1.17986,0.39569,0.35289,0.25863,0.13428,1.9748,2.75344,1.82728,0.00146896,0.00146896,0.00146896
14,283.022,0.90718,0.84527,1.17595,0.6232,0.38632,0.42117,0.24162,1.61731,2.30965,1.42969,0.00145246,0.00145246,0.00145246
15,302.298,0.94359,0.86195,1.22372,0.34356,0.30773,0.20534,0.11239,1.65185,2.79349,1.57556,0.00143595,0.00143595,0.00143595
16,322.182,0.90139,0.82679,1.17982,0.56447,0.31283,0.36079,0.20368,1.52725,2.22866,1.43829,0.00141945,0.00141945,0.00141945
17,342.973,0.89026,0.79086,1.18189,0.79612,0.34033,0.47434,0.25558,1.52433,2.18612,1.35544,0.00140295,0.00140295,0.00140295
18,362.083,0.86279,0.75507,1.1776,0.67334,0.19358,0.21829,0.11013,1.95642,3.05397,1.7869,0.00138644,0.00138644,0.00138644
19,381.665,0.85856,0.7598,1.16515,0.6171,0.282,0.33329,0.19606,1.82776,2.49449,1.61409,0.00136994,0.00136994,0.00136994
20,401.137,0.85237,0.70067,1.16274,0.51145,0.34021,0.33573,0.16647,1.82952,2.6374,1.64616,0.00135344,0.00135344,0.00135344
21,420.996,0.86636,0.72189,1.16775,0.64992,0.41416,0.37941,0.24138,1.34571,2.00446,1.22856,0.00133693,0.00133693,0.00133693
22,440.936,0.83079,0.72326,1.14728,0.64593,0.45748,0.54649,0.33723,1.37011,2.11033,1.24739,0.00132043,0.00132043,0.00132043
23,460.286,0.83805,0.6622,1.14815,0.67038,0.56352,0.62941,0.40564,1.19001,1.64899,1.11669,0.00130393,0.00130393,0.00130393
24,479.918,0.83557,0.69887,1.17114,0.51666,0.43115,0.42021,0.26519,1.37881,2.30427,1.3235,0.00128742,0.00128742,0.00128742
25,499.568,0.79863,0.65332,1.12132,0.55184,0.55345,0.57922,0.35745,1.43416,1.71687,1.23541,0.00127092,0.00127092,0.00127092
26,518.874,0.79678,0.64739,1.11339,0.44307,0.55299,0.50108,0.30654,1.35242,1.91643,1.25334,0.00125442,0.00125442,0.00125442
27,538.69,0.80124,0.6673,1.13353,0.76623,0.24751,0.2944,0.15851,1.80885,3.10739,1.61958,0.00123791,0.00123791,0.00123791
28,558.586,0.77945,0.58146,1.09574,0.59185,0.50909,0.52186,0.31685,1.37385,2.08547,1.22185,0.00122141,0.00122141,0.00122141
29,577.966,0.82242,0.65879,1.14861,0.5501,0.36072,0.39263,0.2287,1.5504,2.10877,1.45987,0.00120491,0.00120491,0.00120491
30,597.399,0.78068,0.60616,1.10831,0.55408,0.44999,0.46978,0.24163,1.71744,2.11557,1.42344,0.0011884,0.0011884,0.0011884
31,617.693,0.78714,0.63528,1.12716,0.64907,0.43743,0.41935,0.23124,1.60887,2.22805,1.40662,0.0011719,0.0011719,0.0011719
32,638.187,0.79,0.58796,1.11961,0.59229,0.53319,0.54163,0.32559,1.28692,2.04775,1.19061,0.0011554,0.0011554,0.0011554
33,658.482,0.76366,0.57688,1.09921,0.61156,0.62553,0.60745,0.38491,1.24438,1.60415,1.14702,0.00113889,0.00113889,0.00113889
34,678.729,0.77992,0.56801,1.12907,0.6428,0.57646,0.58845,0.39381,1.20334,1.75889,1.12398,0.00112239,0.00112239,0.00112239
35,698.669,0.78756,0.54653,1.10693,0.47737,0.34759,0.34313,0.20806,1.47997,2.32145,1.31731,0.00110589,0.00110589,0.00110589
36,717.769,0.76353,0.56119,1.08635,0.4141,0.36249,0.30758,0.15444,1.94304,2.81017,1.61946,0.00108938,0.00108938,0.00108938
37,737.12,0.74473,0.55794,1.09563,0.39653,0.34519,0.27744,0.14114,1.77761,2.71539,1.53521,0.00107288,0.00107288,0.00107288
38,756.669,0.74311,0.55471,1.0932,0.6286,0.45519,0.47565,0.28339,1.45678,2.00926,1.31453,0.00105638,0.00105638,0.00105638
39,776.19,0.72287,0.52132,1.08561,0.63554,0.40351,0.46666,0.27344,1.5108,2.21892,1.30523,0.00103987,0.00103987,0.00103987
40,795.63,0.74411,0.50897,1.0776,0.70541,0.35203,0.49954,0.27175,1.56807,2.37962,1.31195,0.00102337,0.00102337,0.00102337
41,817.138,0.74467,0.50789,1.08957,0.61483,0.42224,0.54509,0.29813,1.54758,2.23281,1.27656,0.00100687,0.00100687,0.00100687
42,837.042,0.7271,0.50836,1.07097,0.54905,0.43213,0.41979,0.24292,1.60762,2.1705,1.37381,0.000990365,0.000990365,0.000990365
43,857.619,0.7375,0.5343,1.08737,0.528,0.48755,0.5014,0.29219,1.69673,2.1502,1.38244,0.000973861,0.000973861,0.000973861
44,878.674,0.75079,0.52171,1.09473,0.66867,0.38869,0.41006,0.22606,1.77034,2.35836,1.53119,0.000957358,0.000957358,0.000957358
45,901.801,0.74458,0.50699,1.08916,0.74367,0.48011,0.53794,0.32232,1.7476,2.31451,1.54246,0.000940855,0.000940855,0.000940855
46,922.803,0.75443,0.53303,1.0921,0.53783,0.3547,0.36475,0.18882,2.02634,2.92436,1.81778,0.000924352,0.000924352,0.000924352
47,942.194,0.71197,0.48657,1.07384,0.68541,0.45922,0.49948,0.27637,1.81853,2.19198,1.55942,0.000907848,0.000907848,0.000907848
48,961.885,0.74446,0.52838,1.09993,0.67834,0.4469,0.48254,0.30001,1.28438,2.22597,1.19024,0.000891345,0.000891345,0.000891345
49,982.223,0.6999,0.47797,1.06219,0.53892,0.4642,0.43625,0.26229,1.41351,2.17411,1.24553,0.000874842,0.000874842,0.000874842
50,1001.83,0.69206,0.4763,1.07762,0.60087,0.45578,0.48364,0.25771,1.75363,2.31646,1.43803,0.000858338,0.000858338,0.000858338
51,1021.8,0.71522,0.49327,1.08142,0.59397,0.39286,0.4135,0.22651,1.90943,2.40469,1.61036,0.000841835,0.000841835,0.000841835
52,1041.61,0.70341,0.4666,1.08462,0.56677,0.33511,0.34661,0.17969,1.91382,2.74401,1.63338,0.000825332,0.000825332,0.000825332
53,1061.49,0.69538,0.47321,1.04988,0.50995,0.43125,0.45887,0.26571,1.75689,2.19061,1.44354,0.000808828,0.000808828,0.000808828
54,1080.87,0.71997,0.47863,1.09155,0.70765,0.45046,0.55066,0.29161,1.75371,1.96285,1.4153,0.000792325,0.000792325,0.000792325
55,1101.23,0.71853,0.4482,1.06959,0.62631,0.3477,0.39149,0.20814,1.81288,2.68002,1.51022,0.000775822,0.000775822,0.000775822
56,1121.01,0.69141,0.45918,1.05539,0.61255,0.41987,0.41772,0.22828,1.72748,2.35063,1.45458,0.000759318,0.000759318,0.000759318
57,1140.68,0.66191,0.43101,1.05942,0.59228,0.44277,0.45625,0.2506,1.64328,2.28698,1.38236,0.000742815,0.000742815,0.000742815
58,1160.17,0.69364,0.46498,1.07637,0.59184,0.40096,0.39712,0.23185,1.64078,2.54308,1.42541,0.000726312,0.000726312,0.000726312
59,1179.47,0.66239,0.43625,1.05438,0.54217,0.40933,0.43288,0.26448,1.44046,2.15645,1.27256,0.000709809,0.000709809,0.000709809
